date,headline,source,compound,sentiment
2020-01-01,Prince Pipes share price gains 2% after promoters release pledge on all shares - Moneycontrol.com,Moneycontrol.com,0.7003,Positive
2020-01-01,Happy New Year! Experts list 20 stocks for 2020 that could generate wealth - Moneycontrol.com,Moneycontrol.com,0.8016,Positive
2020-01-03,"Alps Industries defaults, share price slips nearly 5% - Moneycontrol.com",Moneycontrol.com,0.296,Positive
2020-01-07,"Most SBI branches, ATMs likely to function normally on bank strike tomorrow - Mint",Mint,-0.128,Negative
2020-01-07,CNBC-TV18's top stocks to watch out for on January 7 - CNBC TV18,CNBC TV18,0.2023,Positive
2020-01-09,WhatsApp feature: How to change text format of your chats - Mint,Mint,0.0,Neutral
2020-01-09,Mumbai: BMC slashes parking fines. Here's what you will have to pay now - Mint,Mint,-0.296,Negative
2020-01-09,"Gold hits record Rs 42,000, global rates shine to 7-year high - The Times of India",The Times of India,0.0,Neutral
2020-01-10,"Rana Kapoor, family firms sell remaining stake in Yes Bank - Mint",Mint,0.4019,Positive
2020-01-10,Yes Bank's audit committee chairman resigns citing governance concerns - Mint,Mint,0.1027,Positive
2020-01-10,"CAMS Files Draft Papers for Rs 1,500 Crore IPO - Equitypandit",Equitypandit,0.0,Neutral
2020-01-13,Infosys shares gain nearly 5 pc on Q3 earnings - The Times of India,The Times of India,0.6808,Positive
2020-01-14,"Watch movies, shows on trains: Indian Railways to offer this new facility - Mint",Mint,0.0,Neutral
2020-01-14,Rajiv Bajaj slams the government on over-regulating the auto industry - Mint,Mint,0.0,Neutral
2020-01-15,"Low growth, stable margins continue to define performance at Wipro - Mint",Mint,0.4019,Positive
2020-01-17,"Nirbhaya case: Four convicts likely to be hanged on February 1, says Delhi Court - Mint",Mint,0.0,Neutral
2020-01-18,Bandhan Bank Stock Analysis | Why Bandhan Bank stock is falling? - Invest Yadnya,Invest Yadnya,-0.1531,Negative
2020-01-18,Keki Mistry's tenure as director of HDFC Bank ends - CNBC TV18,CNBC TV18,0.0,Neutral
2020-01-20,"Market Wrap, Jan 20: Sensex declines over 400 pts, Nifty slips below 12,300 - Business Standard",Business Standard,0.4019,Positive
2020-01-20,"Share Market Update: Sensex ends 416 points lower, Nifty at 12,230; Kotak Mahindra Bank falls 4% post Q3 results - Business Today",Business Today,0.4019,Positive
2020-01-20,HCL Technologies share price hits fresh 52-week high on Q3 earnings - Business Today,Business Today,0.5423,Positive
2020-01-20,"Market opens at record high: RIL, HDFC Bank top gainers - DT Next",DT Next,0.2023,Positive
2020-01-22,"Axis Bank Q3 results: Profit rises 4.5% to Rs 1,757 crore; asset quality improves YoY - The Economic Times",The Economic Times,0.802,Positive
2020-01-22,SBI Life Insurance to declare its Q3 results today - The Times of India,The Times of India,0.0,Neutral
2020-01-23,"Share Market Update: Sensex ends 271 points higher, Nifty at 12,179; YES Bank, Indian Oil, L&T top gainers - Business Today",Business Today,0.8455,Positive
2020-01-23,Axis Bank delivers on growth but trouble lingers on the bad loans front - Mint,Mint,-0.8176,Negative
2020-01-24,HDFC Bank Stock Analysis | Best Banking Stock in India - Invest Yadnya,Invest Yadnya,0.6369,Positive
2020-01-24,HDFC Bank vs SBI vs Axis Bank Recurring Deposit (RD) compared: Grow Rs 1000/month to Rs 1.6 Lakh! - The Financial Express,The Financial Express,0.0,Neutral
2020-01-27,"Share Market Update: Sensex ends 458 points lower, Nifty at 12,119; metal stocks decline - Business Today",Business Today,0.4019,Positive
2020-01-27,Reliance Industries Ltd Stock Analysis | Why Reliance is rising? - Invest Yadnya,Invest Yadnya,0.0,Neutral
2020-01-29,Can UBI reignite the economy? - Mint,Mint,0.0,Neutral
2020-01-31,"Year: 1971, under FM Yashwantrao Chavan - Budget 2020: Major income tax rate changes over the last 50 years - The Economic Times",The Economic Times,0.0,Neutral
2020-01-31,Need to address key challenges in farm sector for doubling farmers' income: Economic Survey - The Times of India,The Times of India,0.0772,Positive
